aircraft,aircraftLabel,engine,engineLabel,maxAltitude,price,totalProduced
http://www.wikidata.org/entity/Q211443,Ил-2,http://www.wikidata.org/entity/Q599854,АМ-38,,,36163
http://www.wikidata.org/entity/Q943360,У-2,http://www.wikidata.org/entity/Q742981,М-11,,,33528
http://www.wikidata.org/entity/Q207700,Антонов Ан-2,http://www.wikidata.org/entity/Q15051031,Shvetsov ASh-62IR,,,18000
http://www.wikidata.org/entity/Q562475,Як-9,http://www.wikidata.org/entity/Q977265,М-105,10750,,16769
http://www.wikidata.org/entity/Q154106,Bell UH-1 Iroquois,http://www.wikidata.org/entity/Q17374999,T53-L-9A,,,16000
http://www.wikidata.org/entity/Q154106,Bell UH-1 Iroquois,http://www.wikidata.org/entity/Q17374977,T53-L-11,,,16000
http://www.wikidata.org/entity/Q207089,Рипаблик P-47 «Тандерболт»,http://www.wikidata.org/entity/Q1851343,Pratt & Whitney R-2800,13100,,15686
http://www.wikidata.org/entity/Q187377,МиГ-15,http://www.wikidata.org/entity/Q15050545,RD-45,,,15560
http://www.wikidata.org/entity/Q187377,МиГ-15,http://www.wikidata.org/entity/Q390219,ВК-1,,,15560
http://www.wikidata.org/entity/Q194251,Hawker Hurricane,http://www.wikidata.org/entity/Q1412885,Rolls-Royce Merlin,,,14532
http://www.wikidata.org/entity/Q465806,Chance Vought F4U Corsair,http://www.wikidata.org/entity/Q1851343,Pratt & Whitney R-2800,,,12618
http://www.wikidata.org/entity/Q155635,Ми-8,http://www.wikidata.org/entity/Q221136,ТВ2-117,4500,,12000
http://www.wikidata.org/entity/Q152976,МиГ-17,http://www.wikidata.org/entity/Q390219,ВК-1,16600,,10649
http://www.wikidata.org/entity/Q6387,Boeing 737,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,11300,,10510
http://www.wikidata.org/entity/Q6387,Boeing 737,http://www.wikidata.org/entity/Q2107964,Pratt & Whitney JT8D,11300,,10510
http://www.wikidata.org/entity/Q672488,Piper PA-18 Super Cub,http://www.wikidata.org/entity/Q591725,Lycoming O-320,,,10326
http://www.wikidata.org/entity/Q502117,Норт Американ B-25 «Митчелл»,http://www.wikidata.org/entity/Q1659797,R-2600 Twin Cyclone,7600,,9984
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12130,75900000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12130,90500000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12130,99000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12130,116000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q2599083,International Aero Engines V2500,12130,75900000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q2599083,International Aero Engines V2500,12130,90500000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q2599083,International Aero Engines V2500,12130,99000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q2599083,International Aero Engines V2500,12130,116000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q940491,Pratt & Whitney PW1000G,12130,75900000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q940491,Pratt & Whitney PW1000G,12130,90500000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q940491,Pratt & Whitney PW1000G,12130,99000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q940491,Pratt & Whitney PW1000G,12130,116000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q262330,CFM International LEAP,12130,75900000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q262330,CFM International LEAP,12130,90500000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q262330,CFM International LEAP,12130,99000000,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q262330,CFM International LEAP,12130,116000000,9693
http://www.wikidata.org/entity/Q505673,Як-1,http://www.wikidata.org/entity/Q977265,М-105,10000,,8734
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q1078024,R-1820 Cyclone 9,35433,,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q669734,АШ-62,35433,,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q371480,М-25,35433,,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q61418,Bristol Jupiter,35433,,8644
http://www.wikidata.org/entity/Q507476,Як-18,http://www.wikidata.org/entity/Q106295314,AI-14R,5060,,8000
http://www.wikidata.org/entity/Q905316,Breguet 14,http://www.wikidata.org/entity/Q15125625,Renault 12Fe,,,7800
http://www.wikidata.org/entity/Q939344,Douglas A-20 Havoc,http://www.wikidata.org/entity/Q1659797,R-2600 Twin Cyclone,7200,,7478
http://www.wikidata.org/entity/Q939344,Douglas A-20 Havoc,http://www.wikidata.org/entity/Q2092558,Pratt & Whitney R-1830 Twin Wasp,7200,,7478
http://www.wikidata.org/entity/Q203622,Avro Lancaster,http://www.wikidata.org/entity/Q1412885,Rolls-Royce Merlin,7500,,7377
http://www.wikidata.org/entity/Q1071737,Р-5,http://www.wikidata.org/entity/Q2389899,М-17,6400,,7000
http://www.wikidata.org/entity/Q15896132,Cessna 172M Skyhawk,http://www.wikidata.org/entity/Q15896041,O-320-E2D,,,6826
http://www.wikidata.org/entity/Q546051,Як-7,http://www.wikidata.org/entity/Q977265,М-105,9500,,6399
http://www.wikidata.org/entity/Q652911,Ил-28,http://www.wikidata.org/entity/Q390219,ВК-1,,,6316
http://www.wikidata.org/entity/Q652911,Ил-28,http://www.wikidata.org/entity/Q390219,ВК-1,,,6316
http://www.wikidata.org/entity/Q958075,Ил-10,http://www.wikidata.org/entity/Q386373,АМ-42,,,6166
http://www.wikidata.org/entity/Q148846,Ла-7,http://www.wikidata.org/entity/Q1050634,АШ-82,10750,,5905
http://www.wikidata.org/entity/Q18175583,Lockheed T-33A Shooting Star,http://www.wikidata.org/entity/Q106296067,J33-A-35,47500,,5871
http://www.wikidata.org/entity/Q608997,Ми-2,http://www.wikidata.org/entity/Q626560,ГТД-350,13755,,5497
http://www.wikidata.org/entity/Q608997,Ми-2,http://www.wikidata.org/entity/Q626560,ГТД-350,13755,,5497
http://www.wikidata.org/entity/Q608997,Ми-2,http://www.wikidata.org/entity/Q626560,ГТД-350,13755,,5497
http://www.wikidata.org/entity/Q607651,Sopwith Camel,http://www.wikidata.org/entity/Q5131818,Clerget 9B,7,,5490
http://www.wikidata.org/entity/Q629425,Bristol F.2 Fighter,http://www.wikidata.org/entity/Q1514324,Rolls-Royce Falcon,,,5329
http://www.wikidata.org/entity/Q151432,McDonnell Douglas F-4 Phantom II,http://www.wikidata.org/entity/Q631560,General Electric J79,,,5195
http://www.wikidata.org/entity/Q630744,Як-12,http://www.wikidata.org/entity/Q720837,АИ-14,,,4992
http://www.wikidata.org/entity/Q662591,Ли-2,http://www.wikidata.org/entity/Q669734,АШ-62,5600,,4937
http://www.wikidata.org/entity/Q2096433,Piper PA-23-250 Aztec,http://www.wikidata.org/entity/Q677020,Lycoming O-540,,,4930
http://www.wikidata.org/entity/Q248348,Як-3,http://www.wikidata.org/entity/Q977265,М-105,10700,,4848
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,,4846
http://www.wikidata.org/entity/Q15410360,Junkers Ju 52/3m,http://www.wikidata.org/entity/Q15222960,BMW 132T,,,4845
http://www.wikidata.org/entity/Q100026,General Dynamics F-16 Fighting Falcon,http://www.wikidata.org/entity/Q1154115,Pratt & Whitney F100,,,4604
http://www.wikidata.org/entity/Q100026,General Dynamics F-16 Fighting Falcon,http://www.wikidata.org/entity/Q1154115,Pratt & Whitney F100,,,4573
http://www.wikidata.org/entity/Q330417,Bristol Blenheim,http://www.wikidata.org/entity/Q748146,Bristol Mercury,,,4422
http://www.wikidata.org/entity/Q814007,Beechcraft Musketeer,http://www.wikidata.org/entity/Q630010,поршневой двигатель внутреннего сгорания,,,4366
http://www.wikidata.org/entity/Q1057100,Cessna 177 Cardinal,http://www.wikidata.org/entity/Q1777769,Lycoming O-360,,,4295
http://www.wikidata.org/entity/Q1970679,Royal Aircraft Factory R.E.8,http://www.wikidata.org/entity/Q15104978,RAF 4a,,,4180
http://www.wikidata.org/entity/Q163488,Airco DH.9,http://www.wikidata.org/entity/Q648452,Siddeley Puma,,,4091
http://www.wikidata.org/entity/Q1513705,Potez 25,http://www.wikidata.org/entity/Q3121573,Lorraine 12E Courlis,,,4000
http://www.wikidata.org/entity/Q408463,Airco DH.4,http://www.wikidata.org/entity/Q15105285,Eagle VIII,22000,,3949
http://www.wikidata.org/entity/Q408463,Airco DH.4,http://www.wikidata.org/entity/Q2164330,Rolls-Royce Eagle,22000,,3949
http://www.wikidata.org/entity/Q140318,Gloster Meteor,http://www.wikidata.org/entity/Q723916,турбореактивный двигатель,,,3947
http://www.wikidata.org/entity/Q167277,Aero L-29 Delfin,http://www.wikidata.org/entity/Q1179432,M-701,11000,,3665
http://www.wikidata.org/entity/Q167277,Aero L-29 Delfin,http://www.wikidata.org/entity/Q1179432,M-701,36000,,3665
http://www.wikidata.org/entity/Q700719,Nakajima Ki-84 Hayate,http://www.wikidata.org/entity/Q2755067,Nakajima Homare,,,3514
http://www.wikidata.org/entity/Q700685,Nakajima Ki-27,http://www.wikidata.org/entity/Q2303705,Nakajima Kotobuki,,,3400
http://www.wikidata.org/entity/Q696089,И-15,http://www.wikidata.org/entity/Q214098,Звездообразный двигатель,24672,,3313
http://www.wikidata.org/entity/Q696089,И-15,http://www.wikidata.org/entity/Q371480,М-25,24672,,3313
http://www.wikidata.org/entity/Q648864,Consolidated PBY Catalina,http://www.wikidata.org/entity/Q2092558,Pratt & Whitney R-1830 Twin Wasp,4000,,3305
http://www.wikidata.org/entity/Q266066,Douglas A-1 Skyraider,http://www.wikidata.org/entity/Q786848,R-3350 Duplex Cyclone,,,3180
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,,3106
http://www.wikidata.org/entity/Q700717,Kawasaki Ki-61 Hien,http://www.wikidata.org/entity/Q6379757,Kawasaki Ha40,,,3100
http://www.wikidata.org/entity/Q2101666,Q2101666,http://www.wikidata.org/entity/Q2594466,Wright J65,,,3043
http://www.wikidata.org/entity/Q334759,Douglas A-4 Skyhawk,http://www.wikidata.org/entity/Q7238738,Pratt & Whitney J52,14000,,2960
http://www.wikidata.org/entity/Q334759,Douglas A-4 Skyhawk,http://www.wikidata.org/entity/Q947434,General Electric F404,14000,,2960
http://www.wikidata.org/entity/Q183146,Су-17,http://www.wikidata.org/entity/Q1866814,АЛ-21Ф-3,18000,,2867
http://www.wikidata.org/entity/Q1424539,Breguet Br.19,http://www.wikidata.org/entity/Q113172681,Hispano-Suiza 12Nb,22000,,2700
