aircraft,aircraftLabel,engine,engineLabel,maxAltitude,totalProduced
http://www.wikidata.org/entity/Q562475,Як-9,http://www.wikidata.org/entity/Q977265,М-105,10750,16769
http://www.wikidata.org/entity/Q207089,Рипаблик P-47 «Тандерболт»,http://www.wikidata.org/entity/Q1851343,Pratt & Whitney R-2800,13100,15686
http://www.wikidata.org/entity/Q155635,Ми-8,http://www.wikidata.org/entity/Q221136,ТВ2-117,4500,12000
http://www.wikidata.org/entity/Q152976,МиГ-17,http://www.wikidata.org/entity/Q390219,ВК-1,16600,10649
http://www.wikidata.org/entity/Q6387,Boeing 737,http://www.wikidata.org/entity/Q2107964,Pratt & Whitney JT8D,11300,10510
http://www.wikidata.org/entity/Q6387,Boeing 737,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,11300,10510
http://www.wikidata.org/entity/Q502117,Норт Американ B-25 «Митчелл»,http://www.wikidata.org/entity/Q1659797,R-2600 Twin Cyclone,7600,9984
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q262330,CFM International LEAP,12130,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q940491,Pratt & Whitney PW1000G,12130,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q2599083,International Aero Engines V2500,12130,9693
http://www.wikidata.org/entity/Q6475,Airbus A320,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12130,9693
http://www.wikidata.org/entity/Q505673,Як-1,http://www.wikidata.org/entity/Q977265,М-105,10000,8734
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q61418,Bristol Jupiter,35433,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q371480,М-25,35433,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q669734,АШ-62,35433,8644
http://www.wikidata.org/entity/Q641977,Поликарпов И-16,http://www.wikidata.org/entity/Q1078024,R-1820 Cyclone 9,35433,8644
http://www.wikidata.org/entity/Q507476,Як-18,http://www.wikidata.org/entity/Q106295314,AI-14R,5060,8000
http://www.wikidata.org/entity/Q939344,Douglas A-20 Havoc,http://www.wikidata.org/entity/Q1659797,R-2600 Twin Cyclone,7200,7478
http://www.wikidata.org/entity/Q939344,Douglas A-20 Havoc,http://www.wikidata.org/entity/Q2092558,Pratt & Whitney R-1830 Twin Wasp,7200,7478
http://www.wikidata.org/entity/Q203622,Avro Lancaster,http://www.wikidata.org/entity/Q1412885,Rolls-Royce Merlin,7500,7377
http://www.wikidata.org/entity/Q1071737,Р-5,http://www.wikidata.org/entity/Q2389899,М-17,6400,7000
http://www.wikidata.org/entity/Q546051,Як-7,http://www.wikidata.org/entity/Q977265,М-105,9500,6399
http://www.wikidata.org/entity/Q148846,Ла-7,http://www.wikidata.org/entity/Q1050634,АШ-82,10750,5905
http://www.wikidata.org/entity/Q18175583,Lockheed T-33A Shooting Star,http://www.wikidata.org/entity/Q106296067,J33-A-35,47500,5871
http://www.wikidata.org/entity/Q608997,Ми-2,http://www.wikidata.org/entity/Q626560,ГТД-350,13755,5497
http://www.wikidata.org/entity/Q607651,Sopwith Camel,http://www.wikidata.org/entity/Q5131818,Clerget 9B,7,5490
http://www.wikidata.org/entity/Q662591,Ли-2,http://www.wikidata.org/entity/Q669734,АШ-62,5600,4937
http://www.wikidata.org/entity/Q248348,Як-3,http://www.wikidata.org/entity/Q977265,М-105,10700,4848
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,4846
http://www.wikidata.org/entity/Q408463,Airco DH.4,http://www.wikidata.org/entity/Q2164330,Rolls-Royce Eagle,22000,3949
http://www.wikidata.org/entity/Q408463,Airco DH.4,http://www.wikidata.org/entity/Q15105285,Eagle VIII,22000,3949
http://www.wikidata.org/entity/Q167277,Aero L-29 Delfin,http://www.wikidata.org/entity/Q1179432,M-701,11000,3665
http://www.wikidata.org/entity/Q167277,Aero L-29 Delfin,http://www.wikidata.org/entity/Q1179432,M-701,36000,3665
http://www.wikidata.org/entity/Q696089,И-15,http://www.wikidata.org/entity/Q214098,Звездообразный двигатель,24672,3313
http://www.wikidata.org/entity/Q696089,И-15,http://www.wikidata.org/entity/Q371480,М-25,24672,3313
http://www.wikidata.org/entity/Q648864,Consolidated PBY Catalina,http://www.wikidata.org/entity/Q2092558,Pratt & Whitney R-1830 Twin Wasp,4000,3305
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,3106
http://www.wikidata.org/entity/Q334759,Douglas A-4 Skyhawk,http://www.wikidata.org/entity/Q947434,General Electric F404,14000,2960
http://www.wikidata.org/entity/Q334759,Douglas A-4 Skyhawk,http://www.wikidata.org/entity/Q7238738,Pratt & Whitney J52,14000,2960
http://www.wikidata.org/entity/Q183146,Су-17,http://www.wikidata.org/entity/Q1866814,АЛ-21Ф-3,18000,2867
http://www.wikidata.org/entity/Q1424539,Breguet Br.19,http://www.wikidata.org/entity/Q113172681,Hispano-Suiza 12Nb,22000,2700
http://www.wikidata.org/entity/Q1279022,Navion,http://www.wikidata.org/entity/Q18049494,GO-435,5500,2634
http://www.wikidata.org/entity/Q159881,Локхид F-104 «Старфайтер»,http://www.wikidata.org/entity/Q631560,General Electric J79,15000,2578
http://www.wikidata.org/entity/Q155651,Ми-24,http://www.wikidata.org/entity/Q656113,ТВ3-117,4500,2300
http://www.wikidata.org/entity/Q531053,Норт Американ F-100 «Супер сейбр»,http://www.wikidata.org/entity/Q1969611,J57,15000,2294
http://www.wikidata.org/entity/Q15780900,Airco DH.9A,http://www.wikidata.org/entity/Q1738041,Liberty L-12,16750,1997
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,1600
http://www.wikidata.org/entity/Q130681,МиГ-29,http://www.wikidata.org/entity/Q1193142,РД-33,18013,1600
http://www.wikidata.org/entity/Q1056131,Cessna 208,http://www.wikidata.org/entity/Q15643532,PT6A-114,7745,1500
http://www.wikidata.org/entity/Q1056131,Cessna 208,http://www.wikidata.org/entity/Q15643532,PT6A-114,27600,1500
http://www.wikidata.org/entity/Q46397,McDonnell Douglas F/A-18 Hornet,http://www.wikidata.org/entity/Q947434,General Electric F404,15250,1480
http://www.wikidata.org/entity/Q794571,Sud-Aviation Lama,http://www.wikidata.org/entity/Q106255978,Artouste IIIB,13125,1450
http://www.wikidata.org/entity/Q140254,Messerschmitt Me.262,http://www.wikidata.org/entity/Q695801,Junkers Jumo 004,11450,1433
http://www.wikidata.org/entity/Q234371,Дассо Мираж III,http://www.wikidata.org/entity/Q923665,Atar,59000,1422
http://www.wikidata.org/entity/Q210338,Aichi E13A,http://www.wikidata.org/entity/Q64232662,Kinsei 43,8370,1418
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q15052176,Ivchenko AI-24VT,24600,1403
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q106295324,AI-24T,24600,1403
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,41100,1378
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q1501579,General Electric CF6,41100,1378
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q9070485,Rolls-Royce Trent 700,41100,1378
http://www.wikidata.org/entity/Q337467,Антонов Ан-24,http://www.wikidata.org/entity/Q4053965,АИ-24,8400,1367
http://www.wikidata.org/entity/Q275031,Иљушин Ил-14,http://www.wikidata.org/entity/Q15057025,ASh-82T,6500,1348
http://www.wikidata.org/entity/Q192137,Су-25,http://www.wikidata.org/entity/Q4386273,Р-95Ш,17000,1320
http://www.wikidata.org/entity/Q696588,Fiat CR.32,http://www.wikidata.org/entity/Q15142425,A.30 R.A.,28871.4,1312
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,10200,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,33500,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,10200,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,33500,1248
http://www.wikidata.org/entity/Q502126,Воут F-8 «Крусейдер»,http://www.wikidata.org/entity/Q1969611,J57,11700,1219
http://www.wikidata.org/entity/Q199570,МиГ-25,http://www.wikidata.org/entity/Q2551425,Р15Б-300,20700,1190
http://www.wikidata.org/entity/Q316321,Heinkel He 177,http://www.wikidata.org/entity/Q1157613,Daimler-Benz DB 605,8000,1169
http://www.wikidata.org/entity/Q842481,Northrop F-89 Scorpion,http://www.wikidata.org/entity/Q478153,Allison J35,15000,1052
http://www.wikidata.org/entity/Q505663,Яковлев Як-40,http://www.wikidata.org/entity/Q432654,АИ-25,6000,1011
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,1005
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,1005
http://www.wikidata.org/entity/Q657597,Convair F-102 Delta Dagger,http://www.wikidata.org/entity/Q1969611,J57,16300,1000
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,972
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,972
http://www.wikidata.org/entity/Q520964,English Electric Canberra,http://www.wikidata.org/entity/Q2164321,Rolls-Royce Avon,15000,950
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q12057229,Maori,9000,936
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q15105229,Maori Mk.II,9000,936
http://www.wikidata.org/entity/Q151384,Eurofighter Typhoon,http://www.wikidata.org/entity/Q1375030,Eurojet EJ200,16765,926
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q477394,J33,15000,855
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q7238735,J48,15000,855
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q529545,Junkers Jumo 205,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q796376,BMW 132,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q917964,Bristol Pegasus,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q1529423,Junkers Jumo 207,13000,840
http://www.wikidata.org/entity/Q173680,Су-27,http://www.wikidata.org/entity/Q1322080,АЛ-31Ф,18500,809
http://www.wikidata.org/entity/Q170211,McDonnell F-101 Voodoo,http://www.wikidata.org/entity/Q1969611,J57,17800,807
http://www.wikidata.org/entity/Q332809,Грумман А-6 «Интрудер»,http://www.wikidata.org/entity/Q7238738,Pratt & Whitney J52,12400,793
http://www.wikidata.org/entity/Q155490,Lockheed P-3 Orion,http://www.wikidata.org/entity/Q1710103,Allison 501 family,28300,757
http://www.wikidata.org/entity/Q174534,Boeing B-52 Stratofortress,http://www.wikidata.org/entity/Q2107961,Pratt & Whitney JT3D,15000,744
http://www.wikidata.org/entity/Q1050763,De Havilland DH.89 Dragon Rapide,http://www.wikidata.org/entity/Q3703995,Gipsy Six,19350,731
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q1369279,General Electric F110,18000,712
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q2574100,TF30,18000,712
http://www.wikidata.org/entity/Q911001,Иљушин Ил-12,http://www.wikidata.org/entity/Q1050634,АШ-82,6700,663
http://www.wikidata.org/entity/Q190211,Douglas DC-3,http://www.wikidata.org/entity/Q113179801,Twin Wasp S1C3G,24100,607
